trial, volume, pressure
1, 3.0, 9.949
2, 29, 101.94
3, 28, 105.07
4, 27, 108.44
5, 25,116.12
6, 23,123.91
7, 20,139.06
8, 28,149.73
9, 15,172.11
10,10,229.4
11,33,91.68
12,35,86.99
13,37,82.7
14,40,77.19
15,42,737
16,45,69.4
17,47,66.8
18,50,63.81
19,52,61.39
20,55,58.66 
21,57,56.66
22,60,54.10
